customerID,tenure,MonthlyCharges,TotalCharges,Contract,Churn
4083-HQAIA,41,94.43,3876.1,Month-to-month,No
4364-AWLLO,38,77.85,2947.61,two year,No
1515-UOBCK,70,72.47,5077.49,Month-to-month,Yes
5919-NWSHZ,15,34.83,517.71,MONTH-TO-MONTH,No
4201-JZUTL,25,110.96,2767.42,Month-to-month,Yes
5293-JOPDS,71,27.72,1959.1,Two year,No
7655-RHOKE,20,69.06,1390.55,Month-to-month,No
7829-LXGOU,15,47.98,713.08,One Year,No
4181-YJWLG,0,78.81,,Month-to-month,Yes
5304-HDNPI,16,70.58,1132.81,One year,Yes
3843-IXVHP,63,24.89,1573.39,Two Year,No
4632-EYYBO,3,22.8,76.99,Two year,No
2647-QZCMV,57,22.12,1254.65,Two year,No
4442-ZENYS,45,43.75,1965.21,One year,Yes
2347-XISCT,48,97.99,4689.3,One year,No
7630-ZZVAQ,32,23.65,761.76,month-to-month,No
7009-LOPMI,31,37.26,1156.44,Month-to-month,No
8578-GWJQE,14,80.11,1113.12,Month-to-month,No
2964-SCIGC,64,63.73,4068.51,Month-to-month,No
6718-YCTRX,6,87.47,510.93,Two Year,No
9184-JHNUL,48,26.97,1307.16,One year,No
2819-JLLSH,50,78.73,N/A,Month-to-month ,No
4910-YCHXB,37,83.26,3078.88,Month-to-month,No
1045-APVND,9,70.49,632.05,One year,No
2064-BSQZV,36,108.48,3900.69,One year,No
7891-VWDDN,56,80.07,4492.2,One Year,No
6046-FBTKS,7,53.46,367.67,Month-to-month ,No
6739-PPPNM,21,22.49,473.24,Two year,No
3334-QXCQJ,64,53.49,3413.21,Month-to-month,Yes
3713-IEYTA,48,118.47,5684.83,Two year,No
2179-RGCDG,57,33.57,1925.61,Month-to-month,Yes
6534-EWUCP,63,58.75,3714.46,Two Year,Yes
8008-WVQXY,70,26.22,1848.4,Month-to-month,No
5707-TQQCD,32,88.67,2841.07,One year,No
6036-BFXQC,29,112.37,3250.53,One year,No
1693-RAASO,38,28.05,1051.36,Month-to-month,Yes
7635-FAXLV,51,55.2,2823.39,One year,Yes
5119-QCTAK,18,36.94,669.06,Month-to-month,No
8663-FYKMZ,28,62.02,1737.03,Month-to-month,Yes
3316-BZATX,1,59.72,55.87,Two year,Yes
3079-IWJMN,26,52.88,1367.43,Month-to-month,Yes
3323-SADQB,8,24.71,200.39,one year,No
9319-YSWYG,71,38.66,2743.29,Two year,No
5354-XQQUA,12,71.07,850.85,Month-to-month,Yes
6337-ELCBQ,26,68.84,1796.13,Month-to-month,Yes
8408-OTXLP,64,38.34,2447.08,One year,No
2323-JYDZF,45,49.49,2236.17,One Year,No
4293-ZJAAJ,58,104.25,6058.34,MONTH-TO-MONTH,No
6218-CJILS,49,81.64,4000.73,Month-to-month,No
2451-UCWBW,58,119.42,6923.89,Month-to-month,No
6777-EYIIH,27,96.76,2602.28,Month-to-month,No
6191-OZBPS,42,19.9,827.11,Month-to-month,No
1707-NGCEB,25,82.12,2053.93,two year,No
8395-OQQRM,0,25.15,,month-to-month,Yes
8532-ONJBK,66,108.28,7147.14,Two year,No
6990-TXWWU,67,97.37,6516.07,Month-to-month,No
5916-HIMXE,57,23.32,1337.71,Month-to-month,No
1329-TKKNJ,43,68.81,2961.06,one year,No
1715-YVOEE,30,43.47,1290.88,Month-to-month ,No
7563-WBNYY,31,85.64,2640.19,Two year,No
5908-PQDFD,51,22.07,1123.76,Month-to-month,No
5799-NTIOV,7,54.09,377.37,Two year,No
1018-AHLYQ,31,41.95,1292.86,MONTH-TO-MONTH,No
2434-UBSXO,6,29.07,160.81,Month-to-month,Yes
5358-WXNDF,15,70.88,1063.48,Month-to-month,Yes
1956-XCPRF,52,80.02,4161.25,Month-to-month,No
2918-MFHTK,63,63.82,4022.14,Month-to-month,No
8080-ROXZI,27,52.96,1439.89,Two Year,No
2795-FZMYX,21,91.55,1914.18,One year,No
6177-BGBRU,19,83.63,1584.96,two year,No
7039-MQHIX,3,40.69,129.26,Two year,Yes
5967-WBVXU,17,53.21,907.04,Month-to-month ,Yes
7890-QRPCH,51,71.76,3651.33,two year,No
1985-UXPQQ,10,86.03,859.04,Month-to-month,Yes
5641-RKBTW,53,106.15,5640.85,Month-to-month,Yes
6542-VDYSX,37,24.63,908.01,Month-to-month,Yes
2451-UCWBW,58,119.42,6923.89,Month-to-month,No
4299-QDRMM,30,88.54,2645.19,Month-to-month,No
1890-FZDBB,50,90.63,4525.93,month-to-month,Yes
6663-TCSKT,28,27.17,774.15,Month-to-month,No
8385-TEBUS,18,26.6,482.66,one year,No
6110-GVACS,24,103.41,2485.95,Month-to-month,Yes
8609-UWWDH,3,99.54,304.35,Month-to-month,Yes
4935-EJSJY,26,66.55,1721.43,Month-to-month,No
5333-KVMOM,18,43.15,766.64,One year,No
2479-AXMWG,23,118.54,2712.52,One year,No
2481-RXUVF,27,93.68,2527.52,Month-to-month ,No
6284-VMQDF,7,64.04,459.96,Month-to-month,Yes
9725-ONQPU,24,101.47,2442.48,Two year,No
7099-AEEYR,48,98.06,4695.33,Month-to-month,No
2109-VIEXO,21,42.16,870.96,One year,No
8206-CACUE,70,107.12,7503.49,two year,No
6741-WSISR,61,109.21,6671.09,MONTH-TO-MONTH,Yes
5619-PSBEG,0,116.1,,Month-to-month,Yes
5100-NRVYA,43,67.69,2910.19,Two Year,No
7390-DMEGD,1,111.08,120.05,month-to-month,No
7128-WJMCI,3,70.98,198.56,Month-to-month,No
5430-TTASD,1,26.78,17.09,Month-to-month,Yes
5272-PLZNK,65,106.98,6942.38,Month-to-month,No
8603-BXGTX,43,52.17,2256.92,Month-to-month,No
3643-IMJEB,1,117.94,117.51,month-to-month,Yes
2621-JHUWY,9,95.86,869.93,Month-to-month,Yes
